chosen,rejected
"Te agradezco tu cordial mensaje. De los cambios que me propones arreglé los que me parecieron correctos, no obstante no tengo nada en contra de que me ayudes corrigiendo tú también los que quieras. En cuanto a la bibliografía, como soy nuevo en esto no se ponerla, lo mismo que me pasa con las imágenes, no obstante te la doy para que tú la pongas: - La República, de Julio le Riverend - Historia de Cuba, de Eduardo Torres Cuevas e Ignacio Loyola - Historia del Estado y el Derecho en Cuba, de Julio Fernandez Bulté - La página webb. www.cubagob.cu/otras_info/historia/inicio.html Lo demás son conocimientos míos, pues estoy estudiando historia de Cuba desde la primaria. Sin mas, queda de ti con mis mejores deseos de paz y bien...","pues espero que las despensa que te llegan te maten bien el hambre se ve que eres bot de Ciro, se han puesto datos de por ejemplo el dinero que reciben tu y el y los borran pero no te preocupes tenemos todos los documento guardados con los que comprobamos que tu y tu jefe reciben lana del erario, espero que no te agá daño lo que comes por que no es dinero bueno pero bueno recordemos que eres un Pipope. Y favor de no borrar cuando están las fuentes no las borres Pipope."
"las mejores amigas (y el tipo) sara y majo holi es como ellas se saludan todos los días alas 7:00 y hablan lo que les sucedió en la tarde la verdad es que son muy competitivas en las áreas de estudio como por ejemplo el día 10/03/2014 que se dispusieron a estudiar y si no ganaban las clases se iban a pegar hahaha y tiburcio bueno el es tiburcio es es bien tierno, pervertido,asqueroso,puto,ofrecido,........... hahaha la verdad es que el es bastante especial hahaha y sara aveces ellas son bastante lindas bueno no son la ultima coca-cola del desierto hahaha bueno por lo menos majo es bipolar!! hahaha bueno así dicen saber y sara bueno sara es un poco agresiva pero hay que verlo del lado amable hahaha y timo mejor ni hablar y así son ellas así de lindas y bastante especiales quiere ganas estar con ellas por que son un tanto locas pero que se puede hacer se conocen desde hace huuuuuuuuu un mes osea mucho tiempo Majo y haha te quiero sarita! a ti también tiburcio solo que sos algo especialMajo y "," Que no os enterais pedazos de mierda, que el nombre del club en español, inglés o chinos es RCD ESPANYOL !!!! Vosotros debeis ser subnormales o algo sino no se entiendeZeus "
"Limpié considerablemente el artículo. Muchos borrones, que no suelo hacer, pero el desastre lo meritaba. Quité también la plantilla de , pues, aunque no soy de los mejores en farmacología, creo que el lenguaje está un poco más suave. A ver. ",GRAN REBICHIRO Y CARADE MONDA SON LOS CATREHIJOS DE PERRRA DE ELVER RODRIGUEZ Y LUIS EDUARDO BELTRAN QUE SON UNOS ÑEROS COMO MIERDA QUEVIVENEEN LA CUMBRE Y QUE DE PARTE SON MARICAS Y LES GUSTA QUE SE LOS CUEEN EL LAS ESQUINAS
"Disculpa que te trate como si fueras mi tutor pero necesito ayuda: uno de mis amigos me creó un usuario en la Wiki hace algún tiempo y yo no la sabía; el problema es que no lo voy a usar y, además el seudónimo está mal escrito. Mi amigo me dió la contraseña y la pregunta es ¿Cómo doy de baja a este usuario? De antemano gracias.","Señor, quée rayos fue eso? Hacer ese tipo de ediciones tan estúpidas puede provocar un bloqueo de tu IP hasta    para siempre   . No lo vuelvas a hacer. 17:41 2 oct 2009 (UTC-6)"
   Población (2008): Ciudad = 1.216.594 Población (2008): Municipio = 1.366.979 Población (2008): ZonaMetro = 1.748.629    (discusión) 01:59 10 jul 2008 (UTC),"MARICON RUSOPATICO, LLORON, MEON DE CAMAS A VER SI TE PILLO DE QUE LUGAR DEL MUNDO ERES PARA MATARTE A PORRAZOS Y PARTIRTE ASI TU MIERDA DE CARA PARA QUE NOS DEJES EN PAZ YA"
"Hola, veo que has hecho unos cuantos artículos de pedanías de Almería. Te quería comentar que al crear un artículo debes de poner porlo menos alguna referencia para que otros usuarios lo puedan verificar (que usuarios de otros paises vean que no te has inventado esto). Concretamente en este me he ocupado yo y he añadido la evolución demográfica, las coordenadas y la plantilla de localización. Toda esta información es facil de conseguir en núcleos de población te dejo dos enlaces para que puedas encontrarla. Saludos.Miguillen  Coordenadas: Tan facil como poner en el buscador la localidad y te salen las coordenadas puedes seleccionar varios formatos de coordenadas ver options. Evolución de la población: ","es lo mejor en lo mejor de los deportes y punto t´ callas jajajajajaja el atlas es lo + super y . aja q´ t´ inporta que sea fresa o lo que sea EL ATLAS ES LO MEJOR asi como el CHIVAS ES LO PEOR DE LO PEOR QUE EXISTE EN EL MUNDO MAS GRANDE osea en el que vivimos, eres lo peor que he visto en mi viad aunqu ni me klskjnhsvdjv vcgv,j BYE,,,,,,... 1000000000 DE BESOS (que bromista no)"
" Disculpen. Me he permitido picar con moderación en Chanquete. Otra cosa, Strakhov, hay un posible conflicto aquí, con información complementaria aquí (hilo Bloqueo IP por spam) y con detalles del desarrollo aquí (hilos: Catálogo razonado de Lourdes Moreno y Gracias Rosi). Si tuviera tiempo, personalmente le agradecería su experiencia y su siempre enriquecedor enfoque inmune a todo sesgo.","ciudadano alfaquistano???he visto esa idiotez en varias paginas de los modern warfare 1,2 y 3 lo he borrdo varias veces y vuelkve a aparecer,tal perosnaje no existe y ahora cuando lo quiero borrar no aparece en el editor,algun moderador o bibliotecario que me ayude o no permita que vuelven a escribir eso?"
" Tranquilo, Sjah, no hay que tirar la toalla, primero, soy un simple usuario que aprendí hace 2 años, además tienes que guardar un poco de lenguaje, ya que un bibliotecario si los ve, no le gusta. Ver otra vez > Ayuda:Cómo se edita una página.- Saludos.-Gaard van der ","QUE PORQUERIA DE GRUPO, se apropian de el glorioso nombre del rock para definir un genero musical de la MIERDA que cantan, pseudo grupos disque  rockeritos  tales como: panda, niki clan, rbd, y allison solo les importa sus uñitas negras, correas de taches, y cabellos despeinados,NO MUCHACHOS LA ESTETICA NO ES UN CAMINO PARA EL VERDADERO ROCK. que se metan de modelos entonces. , son un circo completo y un verdadero insulto musical para este genero casi divino...perdonalos, hendrix, j morrison, robert plant, joplin, page....no saben ni lo que hacen...que asco. laura/colombia/"
"OK. Si necesitas algo, en especial traducir algo del francés, inglés o alemán aquí me tienes. Puedo traducir bien y rápido ( modestia aparte xDDDD) Saludos y suerte con el proyecto, a ver si sale bien. ",¿Puedes dejar de dedicarte a vandalizar el artículo de Cuba? Borras las cosas sin mirar... haces cosas sin preguntar... eres un virus. Cheo 
"como se encuentra el numero de átomos, moleculs, iones e los compuestos de los halogenos que contengan mas de una valencia por ejemplo el Ch","Y QUE ME IMPORTA LO QUE HAGAN, LO QUE ME IMPORTA ESQUE ESTE ACTUALIZADO Y NO QUE ESTE TOTALMENTE DESACTUALIZADO Y CON DATOS FALSOS, HACIENDO QUE LAS PERSONAS SE EQUIVOQUEN POR TU PUTA IDEA DE QUE SE VEA ORDENA, DESEGURO ERES UNA HIJA DE PERRA CON UN MOJON DE CEREBRO!"
"Tomando en cuenta que existen mas de cuatro evangelios y que solo unos fueron  los elegidos  para la doctrina actual, y que del estudio de los  no elegidos  han surgido, no dudas, si no nuevas revelaciones, los lectores que se precien de ser personas estudiadas deben tener en cuenta que todos los evangelios ( los verdaderos  y los  apócrifos ) son escritos por seres humanos y que su veracidad o falsedad quedan en tela de juicio, por que asi como un usuario exige el acta de matrimonio de Jesús con María Magdalena, yo exigo los registros médicos de Lázaro y de todos los  curados .Por favor, somos personas estudiadas que debemos estar abiertas a todas las posibilidades de los hechos históricos, no por que yo sea fan de Jesucristo voy a creer en todo lo  bueno  que se dice de el ni en todo  lo malo  que se pregona asi como de María Magdalena.El    sentido común    nos transporta a visulalizar mas real la versión romántica de Jesús con Maria ¿Qué tiene de malo?."," Lo dicho colega: esperas que todos se inclinen a tu paso. ¡Sólo faltaba que tuviera agradecerte tu lamentable actuación! No sólo posible como dices, sino pantentemente errada porque no has demostrado    nada   . Así que aplícate lo de la viña del señor. En fin... Y mentar que cambiases más artículos del mismo modo tampoco razona, sino que reafirma. Al pan,  pan  y al vino,  vino . Que, encima, esperases pleitesía solo demuestra que tratas a quien no coincida contigo como un vasallo. Tú mismo... Saludos cordiales"
Es muy correcto. Soy descendiente directo de Nazario Benavidez y la historia esta muy bien relatada. Eran tiempos dificiles seguramente los que se vivian en esa epoca. Nadie debe ser juzgado por sus ideales en un mundo libre. Si bien su obra de Gobierno tuvo aciertos y desaciertos fue valorado por muchas causas nobles.,"Maricones Los maricones son gente humana que son conocidos como Basilios del Rio. Esa gente esta todo el día petandose el culo y dejandoselo rojo. Clases de maricones Esta la clase enana que es conocida Ruben Fernandez Jimenez, que es una clase que le gusta chupar poyas negras. Hay otra clase que es conocida como la pelotuda que es conocida como Jose Manuel Ramos Marin, esta clase se pasa el dia chupandole los pezones a los viejos malolientes."
"Hola, he visto que has revertido mi edición en Salud (videojuegos). Aunque es obvio que HP no es una abreviatura que se ajuste a la lengua castellana, creo que es oportuno mencionarla, así como su origen, ya que son dos letras que aparecen en bastantes ocasiones, sobre todo en videojuegos de rol. Un saludo.",sacala del chivi xdxd:tengo un peño probelma tengo la picha muy grande y cuando estoy con mi novia la cosa se pone que arde ella me dice mi bosa meteme sola la punta yo q soy listo contesto toma baselina y unta y dicho se que en pleno acto al oida me susurra sacla sacala sacala sacala q mestas aciendo daño.mi picha es como un ariete ialgo mas de medio metro a una novia q yo tuve al observar q se abria ME PASE un poco emujando y la ice la traqueotomia y esta chica antes de esto porque aora ya no habla me decia sacala sacala sacala sacala sacala q me estas haciendo daño mi trabuco es aguerrido y a luchado triunfalmente a un buenpuñado de chicas e desgarrado analmente auna que estaba en estado mirasenque lios me meto senti que algo me gritaba puse atencion y era el feto que aterrado medeci saca tu rabo del cordon unbilical zacala zacala zacala zacala q me estas hacciendo daño mama pupa yo ya no se siaperarme esq se me ba la oya o trabajar en el circo haciendo del hombre poya fin
"De nada. Lo que más me preocupa es que estas cosas no te quemen. No sería la primera vez que perdemos a un buen editor por un malentendido. Un saludo, ",me llamo kimi ayudame a hacer mi tarea psssssss te dare una recopensa tengo senos grandes y me encanta hacer el amor
"Estimado CABALLERO: Responderé a su inquietud o comentario, o spam o lo que fuere, para que cualquier padre prudente que atine a clickear la pestaña de DISCUSIÓN al leerlo a usted tenga otra campana. Yo le pregunto ¿Quién es usted? Es la pregunta que debería formularse cualquier padre que lo lea, porque con la ventaja del ANONIMATO, yo puedo ingresar y decir que tengo al primo hermano de ALF sentado en mi mesa que algún imprudente llevado por la potencia mística de su primitivo cerebro LO CREA A RAJATABLA. Usted miente, y NECESITA que los demás CREAN este mito.",Claro q no!...se supone que queremos enteros.... pedazo de p*nd*j*!!.. ¬¬ 68325.4 x 1.4 = 95655.56 = 95656!... .|. 
"Hay un troll que se hace el gracioso poniendo cosas como que Roxlo es el hijo del pato donald, o lo relaciona con justin bieber... en fin. Saludos.",saquen al sr. wilmer bravo nunayali es un ladron recien estubo en la carcel190.103.108. que pasa sr. alcalde ese señor robo en chiclayo por eso lo botaron lo botaron de condorcanqui por ladron
"Efectivamente, los mayas estan extintos, hace unos cuantos siglos, en la actualidad habitan pueblos indigenas en Guatemala, muy distantes de llegar a ser lo inteligentes y racionales que fueron los mayas, son mas una raza producto de la ignorancia y resentimiento, que obstaculizan el crecimiento de Guatemala.",quiero tener muchisimo sex pero no se el numero de ninguna prosti me pueden decir alguno asi llamo y tengo placer secsual? gracias
"Pues me perdonarás pero si veo algún plagio en el que solo haya contribuido él o haya ediciones menores de otros, lo pasaré a la picadora de inmediato. En todo caso, anotaré lo que tenga ediciones mayores o que haya  salvado  como la ves anterior. Pero si ves que enciendo la máquina y empiezan a proliferar los rojos, no te asustes. Saludos. ","Maldita sea la transicion, que dejo a Castilla en la cuneta democratica. En fin, hasta nuevo aviso de oficialidad, tu ya me entiendes XD    Rastrojo    30x15px "
"Nadie ha pedido mi opinión, pero yo opino que tantos los artículos cosmonauta y taikonauta deberían de incluírse dentro del tema de astronauta como subtemas a parte, y los artículos antes mencionados redireccionarse a esas secciones del tema principal, que sería astronauta... bueno, eso digo yo..","La imagen me parece ciertamente desagradable (apuesto a que es culpa de mis educadores, religiosos, que me traumaron, pero ya no tengo solución) pero si no la llego a ver, me creería que es un artículo de coña... o que hay que tenerla de 4 palmos. Ya veo que nada más lejos. Muchas gracias, la votacion me parecio excesivo, y queria agradecer personalmente que no lo borrases sin mas."
"Además, también deberías leer WP:3RR. Si no te detienes, tendré que avisar a un bibliotecario y podría bloquear tu cuenta. "," El que como de costumbre se ha puesto en evidencia eres tú, Billy. ¿Camima en el bloquéame? Venga ya! Pero claro, en tu caso, no hay nada personal contra Ecemaml, ¿verdad? Pa tí la perra "
En la penúltima modificación que hiciste el 9 de abril de 2008 del artículo sobre  Entesa Catalana de Progrés  no eliminaste las palabras  Nacionalismo catalan .,Lo usaré en mi página de usuario prro v se mamó xd #HailGrasa v / 
Santa caer con auto de un acantilado estas chiflado ella se suicida acuchillándose hay un vídeo que lo demuestra. Ver youtube http://www.youtube.com/watch?v=mnDqYgYY1uA&feature=related 8:14,por otro lado los pinches pawer rayers dominaron al mundo orinandose en cualquier personita que se encontraro y dora la exploradora con su mapa se comieron a la ballena flofi y a su mamá con sal y a dos conejos con limon-y dora la pinche prostituta me la pelo con mayones y catsup y canela y un pan de hot dog
"Lo bueno es que se supone que yo soy el que está a una hora normal! Saludos, Cobalttempest →•← 03:46 8 dic 2007 (CET)   PD: ¿Qué opina sobre lo que el usuario introduce en el artículo? ¿Lo considera válido? Ya lo ví, esperemos que el usuario contribuya. Saludos, Cobalttempest →•← 04:07 8 dic 2007 (CET)   PD: La planti no tiene una versión  pequeño=sí ?  ",la vdd dejen de decir mamadas la neta solo alguien busca respuestas serias y ustedes ssalen con sus idioteces187.145.145.
"Puedes darle caña a en:Template:Subscription, no es urgente, pero sí necesaria, tarde o temprano nos hará falta, porque... ¿existe algo parecido? Se ma ha ocurrido poner al final de la cita web, requiere suscripción, pero queda algo cutre. Salduos,    OboeCrack    14px ",pinche ptutos bibliotecarios pendejos y tambie todos los putos qe escriben aqi pinches putos comanse mi semen a todas la novias de los bibliotecarios les doii a mamar mi vergota y les echo el semen en la cara pinches estupidos me chupan la cabeza del pene los reto a todos a qe me bloqeen putos
"Hola XanaG, he seguido sus recomendaciones y espero que con ellas esté avanzando y más cerca de conseguir publicar el artículo. La mayoría de las referencias dirigidas a la web de la Sociedad, las he cambiado, dejando solo las que no están publicadas, Estatutos, Actas… También he modificado los puntos que me indica para hacer la lectura más fluida. En el apartado “Historia” he añadido el punto del 40 aniversario así como los Cursos de Verano de Jaca. Espero su respuesta. Un saludo ","Mira tendencioso marxista, recuerdas mal, no fueron 30.000, con tres mil tienes de sobra, porque la verdad fueron menos de tres mil los terroristas  muertos  no asesinados que cayeron como ellos muy bién lo decían y lo hacían sentir en aquella época  Combatiendo , resulta que ahora todos eran santos de la corte de sanguchito."
"¿fusión con rape? Si no es ni de su familia ni de su género, jaja. ¡Increíble, eso de poner cartelitos!",estas loco?? como borras la pagina? obvio que he leido lo que implica la wiki pero precisamente porque no hay informacion actualizada cabeza de alconorque sobre el tema es que la estaba construyendo!!!
"Yo ya le he dado mis motivos, y puedo estar equivocado. Puede contactar a otro bibliotecario en el tablón para una segunda opinión. Te recuerdo que mi motivo de borrado no es por su reducido tiempo de existencia, sino por su falta de relevancia. Además, tenga en cuenta el punto de vista neutral, ya que me parece que entre usted y esta organización existe un conflicto de intereses. Decidir si algo no es relevante es una cuestión difícil, pero en este caso no era únicamente mi opinión. 20:40 31 oct 2011 (UTC)","bueno, La pilicola el payaso y el führer. La realidad de mi Familia y de charlie que yo es stoy investigando es todavia mas ingreible que una Ficcion. es un acto de alambrista endro de la ficcion de una realidad mui unidireccional. porque no ce an brecotado a la Familia Andreu Rivels antes de aser una Pelicola sobre un thema tan delicato ???"
los hominidos son una parte importante de nuestro ecosistema por lo cual devemos hacer algo al respecto se los ruegon los hominidos son como orangutanes que van de un lugar otro,"Oye gil, me da lo mismo si los giles q lo escribieron se equivocaron, porque mejor no te vas a leer algo importante, y te quitas lo ocioso, maldito gilipollas. Anda a hacerte coger racista y la concha de tu madre! y mejora tu ortografía aweonano, es que nop puedes escribir AIR como AHIR, y te haces llamar un conocedor, andate a la mierda!"
La Biodiversidad es la cadena alimentaria tiene que ber un poco con los animales porque si se muere el hijo de una animal que esta en peligro de extincion si matas a un hijo de un conejo ya conejo para comer por que as matado al hijo del conjo hi havi mas explicaciones muchas mas.,PERO KE DICES DE CATALAN GILIPOLLAS ¡¡ ya estas tocando los cojones otra vez con lo mismo. Aprende y caya la puta boca ya¡¡
"Veo que has delirado e inventado varias cosas, como esos hilarantes supuestos dogmas del neoliberalismo. No solo defiendes la existencia de una corriente que no existe sino que le inventas dogmas. Quizas tu podrias declararte el fundador del neoliberalismo. No eres una persona honorable.  Saludos.","Aparte de inútil (pues todo queda en el historial), es visto como una mala prácitca, IP, deténgase.   Jcaraballo    00:29 1 jul 2011 (UTC)"
Hecho: trasladados todos. He incluido la categoría dentro de  Iglesia católica . Se puede modificar o añadir alguna otra más específica. Saludos.,"O-oh... si me vas a decir que es oceánida en vez de oceánide, pues... me pego un tiro. "
"RESEÑA HISTÓRICA HOSPITAL LAS AMÉRICAS LTDA: Es una entidad de carácter privada creado para suplir la necesidad de atención medica, con la complejidad que requiera la zona de los habitantes de los barrios del surocciente del Municipio de Soledad. EL HOSPITAL LAS AMÉRICAS LTDA. Fue creada según ley 905 de 2004, registrada el día 21, de marzo de 2013, inscrito en cámara de comercio de barranquilla, el dia 26 de diciembre con el numero de matricula mercantil 263,239, con NiT: 900.685.946-6, fue constituida la soledad limitada, denominada HOSPITAL LAS AMÉRICAS LTDA, Con domicilio en la calle 53B No. 1F-51, EN EL MUNICIPIO DE SOLEDAD. DEPARTAMENTO DEL ATLÁNTICO, REPÚBLICA DE COLOMBIA",Pobres BNGalegos. Es triste ver a alguien arrastrarse tanto y hacer el rídículo de esa manera. Que raro que se autodenominasen princeps asturorum del regnum asturorum y no princeps galaecorum. ¿Será cosa del conspirador amanuense?
"No entiendo, no hablan nada sobre la última carrera de hungría. Es como si no hubiera pasado. Por favor, a quien corresponda, las bibliografías o se hacen completas o no se hacen. Hamilton = tramposo.",METETE LA ESTRELLA DE 5 PUNTAS POR EL CULO Y DE PASO A LA QUE TE PARIÓ !!!!!!!!! ZLATAN ES CULE !!!!!!!!!! VISCA BARÇA !!!!!!!!!
"De hecho todo lo contrario, yo también he leído en gran cantidad de historiadores y cronistas que Huayna Capac nace en Tomebamba, sin embargo al parecer alguien (antes de mí corrección y la actual tuya) cambió los datos y puso que nacía en el Cuzco, por eso yo volví a poner a Tomebamba como lugar de nacimiento pero dejando claro que pudo haber nacido en el Cuzco y poniendo (cita requerida) para que quien cambió ponga sus fuentes. The ",Pero bien que se avienta los partidos de Televisa con ese calvo destruidor de masas. 189.223.198.
"Hola, gracias por su mensaje. Copie todo el contenido del artículo Ricochet (luchador) al artículo Trevor Mann, que por lo que entendí de las instrucciones se hacía así. Aunque no se si está bien ¿puedo volver a postular los artículos a la fusión de historiales? Saludos. "," Basta, me aburriste, no voy a seguirte el juegito soportando que me insultes lumpen, solo desde ahora, pero seguiré revertiendote, y ecemaml, que entiendes por humor? como dice en ese link?, si fuera el creador de la web te creo, deja de buscarle la quinta pata al gato. ¿Si tienes un libro marxista te convierte en marxista?, deja de infantilismos.    Antoine    "
" sí  en solitario , lo cual no es un argumento que te de la razón... ya conocés el dicho de las moscas... ¿no? Lo   absurdo   de que la fuente historiográfica no esta firmada, está firmada por un espacio de tal envergadura como el Ente Público Espacio para la Memoria y para la Promoción y Defensa de los Derechos Humanos. No quieras tergiversar mis palabras con que hay dos posiciones. Hay una sola. Hess participó de los vuelos de la muerte tal y como se dice en esta misma biografía, la categoría tiene correlato con lo que dice en el texto. Punto final. Saludos.Mans «...When you knock me down I get the f**k back up again!» 22:58 5 dic 2017 (UTC)","mira, a mi no me interesa tu estupido robot solo kiero una pagina donde escribir vale si no te gusta no entres mi indice subira tio, ah y me da igual k seas de la pasma cocoroco, machista"
"Chamarasca, a ver si empezamos a hablar con claridad: tienes actitudes propias de un troll, de una persona bronquista, incapaz de colaborar con otras personas y siempre reabriendo discusiones que han quedado cerradas. Punto. No vas a estar toda la vida reabriendo una y otra vez temas con el objetivo de imponer tu visión y pisotear al resto. Pareces haber olvidado a qué llevó la última vez que reventaste esa situación...","No era vandalismo, parece que  Malparida  es una serie de Pol-ka. Precaución, amigo reversor -D "
