chosen,rejected
"Je ne suis pas un expert, mais tes indications me paraissent judicieuses ; plus en tout cas qu une fusion avec la déesse antique, qui n est que peu concernée ici. Bibi Saint-Pol ",je vais pas le répéter 36 000 fois de mon côté j arrête je ne touche plus a tes articles mais si je trouve une seule modif sur le palmarés du wac tout tes articles ne seront plus que de la merde
"Bonjour       ,    Dernier avertissement !    Veuillez    cesser immédiatement    toute dégradation de Wikipédia sans quoi vous serez sanctionné. Au prochain acte de vandalisme, vous serez interdit en écriture sur l’ensemble des pages de Wikipédia.Catégorie:Vandale averti Chico (blabla) ","Prends moi pour un con, tu vas pas être déçu du résultat. Maloq causer "
"Je pense qu un lien vers là, dans l introduction ou la section liens internes, serait le bienvenu. Pylade (d) "," Je mène au    le degré zéro de l absurde   ? quel lapsus flatteur ! Tu es un vandale, je restitue la version précédant ton intervention. Apollon "
"Mais pour ceux que le débat interminable intéresse, voici une page qui ne vous fera pas avancer d un pouce ; L auteur, qui ne manque pas d air, recopie des passages de cette page de discussion en attribuant aux intervenants des pseudos fantaisistes, en ajoutant en note que ce sont les pseudos choisis par ces intervenants. Eh bien, Victor, DB te traite d escroc et de voleur. Morburre (d) "," D une part cette catégorie est, comme dit précedemment bien délimitée, d autre part parce que l argument selon laquelle cette gatégorisation n est pas neutre ne tient pas sauf à considérer que les lecteurs de wikipédia sont cons comme des boulons et ne savent pas faire la part des choses. Kimdime69 "
"Je vais me charger personnellement de les remplir sous peu. Néanmoins, permettez moi de vous faire noter qu une très grande quantité des informations en bas de l article sont presente ce qui représente plus que sa moitié à vrai dire c est surtout la section  Urbanisme  qui est encore incomplète. Merci de m avoir partagé votre avis. Florian Psc (discuter) ",Va te faire foutre conard je veux etre debloquer ou sinon je va vandaliser ta page perso quand je sera debloquer. Si tu me debloque tou suite ma arreter de vandalismer.
"bon ca suffit. on vous a demandé d aller lire les règles de wikipédia, ce que vous n avez manifestement pas fait. vous vous enfoncez dans le ridicule à parler de quelque chose que vous ne comprenez   absolument   pas. donc je remets les liens que vous avez intérêt à lire source secondaire et principes fondateurs. lisez ces pages et arrêtez vos jérémiades vous êtes en train de causer beaucoup de tort à votre propre cause juste parce que vous avez la flemme de lire ces deux malheureuses pages. ","Va falloir se calmer, je vais pas passer la nuit à réparer tes conneries LeBelot (d) "
"Bonjour    96.21.42.111   , Votre modification sur l article « Homo » a été    annulée    en raison de son caractère non constructif. Si vous souhaitez continuer à apporter vos connaissances aux articles qui vous intéressent, il vous faut . Dans le cas contraire, cela sera considéré comme une dégradation volontaire et un administrateur pourra vous empêcher d écrire sur l’ensemble de Wikipédia. Un livret d aide est à votre disposition ainsi que le sommaire pour vous guider dans l apprentissage de Wikipédia. Le bac à sable est disponible pour vos tests. Si vous souhaitez de l aide, n hésitez pas à . Merci de votre compréhension. Ariel (discuter) ","D abord ma requête, après la tienne OK ? Elle était rédigée en premier elle sera traitée en premier, ok ducon ? on n a pas élevé les cochons dordognots ensemble ok ? Alors l enfoiré va patienter. Merci."
Proposé par Chris a liege (discuter)  Message laissé par le déposant du bandeau d’admissibilité     absence de sources centrées - voir critères WP:NM    ,"Merci de reconnaitre le stupidité de cette affirmation. Quelqu un s est fait remballer sur en, et vous supputez que c est moi, sans aucune preuve. Peu importe d ailleurs. Il y a une confusion entre le référencement d un logiciel fait par un webmaster et les liens concernant le langage. Pour ces derniers, le mieux est d aller voir les résultats des moteurs de recherche en intégral. Cette polémique que vous avez relancé sur la page de discussion de CAr n a d ailleurs aucun intérêt actuel. Vous aimez cela les polémiques! Tout autre contributeur que JB aurait laissé tomber depuis longtemps. Quand à moi, je clôturerais le compte le 31 août et vous pourrez polémiquer avec JB et Bombyx tout votre saoûl, aussi longtemps que vous voudrez."
"Bonjour    2A02:A03F:60BA:7900:13F:F1E4:2EAE:75E5   , Merci de ne plus ajouter de contenu    non encyclopédique    sur Wikipédia, car cela est considéré comme du    vandalisme    et vous expose à un blocage en écriture.   Si vous voulez vous familiariser avec l encyclopédie, un    livret d accueil    et le    sommaire de l aide    sont à votre disposition. Vous pouvez aussi demander de l aide sur le    forum des nouveaux   .   Tomybrz Bip Bip ","Tu as supprimé Silmaris, l article phare de la guilde. Tu n aurais pas dû le faire. Je vais être obligé de t insulter. VA TE FAIRE FOUTRE, ALCHEMICA ! TU ES UN SALE CONNARD !"
"Bonjour       , Vous avez découvert combien il est facile de modifier Wikipédia. Votre modification a été    annulée    en raison de son caractère non constructif. Merci de ne pas réitérer ce genre de contribution. Visitez la page d’aide afin d’en apprendre plus ou le bac à sable afin de faire des tests.ELFIX ","Je suis sergent en genie militaire ,en faisons le service des sals pd ,je cherche a onculrer ces sals sals pd krefs ,attayins ,pour el mounkarat ,et nous enculer. BenyamineVador (discuter) "
"En plus, je viens de voir, le passage invoque l imprimerie pour expliquer le changement en 1439, alors qu elle n était pas encore inventée cette année-là! Enfin, j ai demandé à une historienne que je connais s il y avait quelque chose de vrai là-dedans et y reviendrai. Meilleures salutations, ","Vue la pauvreté et la médiocrités des contributions que vous apportez à ce lieu, le truffant d inexactitudes et de mensonges par charcutage, faites donc ce qu il vous plait car je n ai pas plus de temps à consacrer aux tacherons de votre espèce. "
"Les deux karmapas, le shamar, le tai sitou, ont aussi dégénérés. L  autorité Kagyu, Marpa est en France comme celle des Gelugpas (Tsongkhapa), aucun des deux est enseigné.. Le centre dagpo kagyu ling refuse de transmettre ses enseignements au fondateur et à sa femme malgré des mises à pieds consécutives. Les Gelugpas de Thar deu ling Paris ne veulent pas régler la situation en rendant ses enseignements à Tsonghkapa... Si vous doutez de mes propos renseignez-vous avec ces deux centres, cette bande de dégénérés bloquent tout la situation planétaire... Kashyapa (d)  Cordialement, Alchemica (d) ",VIVE LA ROI !!!!!!VIVE LA MARUECOSSSSS!!! LA SAHARA C A NOUS !!! AN ES LA PLUS VIEU PAYI DE MONDE!!!!!!!
" Comme avec une jeune mariée, dur dur de mettre son con sent aimant pour un ADQ sur ce sujet, peut-être un AD suffit-il pour ne pas faire frémir le sub con sciant des âmes sensibles Astrée ","Explications, liste de sites internet sur le catch et articles à lire si vous n êtes pas un/une idiot(e) d IP Kikou"
"Mon cher Shublu, sache que je n ai aucune, mais alors vraiment AUCUNE leçon à recevoir de toi. Tu te feras communiquer par un administrateur la liste de mes contributions sous mon ex-pseudonyme Utilisateur:Frank Renda, ce qui te permettra d apprendre que j ai créé près de trois cent articles dans le domaine musique classique. Alors tes neutralisations pinailleuses (tu n as vraiment rien d autre à faire ?), réserve-les aux débutants que ton attitude impressionnera peut-être, eux. 82.230.180.185  Je n ai aucune leçon à te donner. Par contre, plutôt que de te comporter de la sorte, tu ferais mieux d utiliser les pages de discussions. Ceci est indépendant de toute compétence, ancienneté, connaissance, ou quoique ce soit. Shlublu bla ",Bonsoir je suis Maitresse severe je suis a la recherche d un soumis très obéissant a mes pieds pour une éducation
"Non, lourd pour le lecteur. Et surtout, totalement inutile, voire même nocif pour la cohérence de l information, si ce n est pour la neutralité de l ensemble. A quand ??. Quant à Natation synchronisée masculine, vu l identité de la personne qui a créé cette ébauche, j ai des doutes... Jean-Jacques Georges (Sonnez avant d entrer) "," Vous me faites rire à vouloir déresponsabiliser les musulmans de la castration systématique de leurs esclaves mâles. Et vouloir comparer cela aux quelques cas de castrats, cela frôle même le pathétique... Et ne confondez pas la bible avec le coran. Quand dans la Bible on a  Mathieu Chapitre 19 Jésus et la répudiation , cela veut bien dire cela ce que cela veut dire. Il n y a pas de    pseudo savants    qui viennent affirmer que cela veut en faite dire le contraire."
" Un plan du lieu serait en effet un gros plus, non seulement pour cet article, mais pour la thématique au complet (je vais m y pencher en demandant l aide de l atelier graphique). Pour la fréquentation du musée (SHMP) je préfère concentrer l info dans la section « économie » du musée, pour le dernier élément je n ai jamais vu d info publié à ce sujet. Merci pour les pistes d améliorations. ChristianT (d) ","Je te rassure aucun sociologue ou autre fouille-merde chercheur ne cherche sur Wikipédia ce genre de données. Elles sont disponibles dans des bases de données indexées et tout le bazar. WP ne peut pas être tout à la fois sans courir le risque de n être rien au final. On a nos spécificités, cultivons les plutôt que de chercher à être le google de la connaissance. Moez   m écrire   "
"Bonjour, je vois que tu est impliqué dans une guerre d édition sur cet article. Je suis lassé de voir l historique rebondir entre deux versions et entre deux contributeurs, les deux mêmes. Si vous ne vous décidez pas à vous parler, soit sur vos PDD respectives soit en PDD de l article, il me restera deux options protection complète de l article, ou blocage des deux contributeurs. Merci de ton attention. Maurilbert   (discuter)   ",Quel rapport avec Hitler ??? Bozo le clown est dans la place on dirait. Je voulais juste notifier que les mots ont un sens. Guerre est un mot fort surtout de nos jours. Attention à ne pas galvauder les expressions pour un oui ou pour un non. Rien à voir avec Hitler donc. La prochaine fois demandez à votre collègue do not follow de vous expliquer quand vous ne comprenez pas. P.S. j attends toujours votre réponse sur les recommandations WP. Apparemment vous ne les connaissez plus très bien. Au revoir.62.212.103.76 (discuter) 
"Bonjour, Nono0205, et merci de votre participation à Wikipédia . Je vous informe que la page que vous avez créée a été supprimée par l administrateur    Speculos    avec le commentaire «    Vandalisme manifeste    ». Si vous estimez que cette suppression est inappropriée, vous pouvez faire une demande de restauration de page,   en motivant votre demande   et   en apportant des preuves   de la pertinence de votre article via des sources vérifiables et pertinentes justifiant cette admissibilité (coupures de presse, études universitaires, statistiques publiques, etc.).    Ne recréez pas cette page vous-même.    Si vous tentez de la recréer, elle sera automatiquement blanchie par Salebot. (bot de maintenance) ","vous voulez pas qu on se baise a plein de mecs en même temps, ce serait très très très chaud chaud sucage enculage branlage"
"Oui, j ai vu, cela fait plusieurs jours que ça dure et je n arrive pas à voir d où cela peux provenir. Ce sont toujours les deux mêmes, mais à part ça aucune piste, je vais continuer à chercher... stanlekub ",Et bien allez vous faire foutre Adrien .. Avez-vous quelque chose à dire ? .. Vous n avez aucune preuve pour pouvoir dire que j effectue du vandalisme excessif ! Vous vandalisez Wikipédia. C est pour cela que j ai demandé votre blocage. ◄     Adrien     ► →☠← 
Proposé par Panam (discuter)  Fiche technique. Pas de sources secondaires. Liste Nokia Lumia 520 Nokia Lumia 525 [[Nokia Lumia 620] Nokia Lumia 625 Nokia Lumia 720 Nokia Lumia 810 Nokia Lumia 820 Nokia Lumia 920 Nokia Lumia 925 Nokia Lumia 1020 Nokia Lumia 1320 Nokia Lumia 1520 Nokia Lumia 510 Nokia Lumia 610 Nokia Lumia 710 Nokia Lumia 800 Nokia Lumia 900,"((ce génocide a voulu éliminer radicalement la totalité d une population qui ne représentait aucune menace militaire ou politique pour les bourreaux.)) dsl , je pense que les nazis avaient raison , cette population ne représentaient aucune menace militaire , mais à long terme , ils pouvaient menacer le monde entier . et la preuve, le monde d aujourduit est sous le menace des juifs la sale race, vous ne voyez pas les enfants de la palastine ?? Comment ils exterminent les petits bébé en palastine, les vieillards et les femmes ?? Israël c’est le cancer de ce monde, une maladie incurable , et toutes les guerres dans ce monde c’est a cause les les sionistes vraiment on a besoin d une autre SHOUA pour finir avec ces porcs."
Une réponse ici (à croiser avec d autres références avant de l inclure dans l article) p-e ," A priori, Wikipédia est orienté par des dictateurs... le couillon de liège qui appelle ses potes pour faire supprimé l article au delà des 14 jours. Et oui, pour moi, y a une bande de DICTATEURS sur Wikipédia qui aime faire des articles sur les terroristes... (mon avis vous plait pas, j en ai strictement rien à foutres les petits dictateurs et les grosses têtes) Thierry80 (discuter) "
"Matelot, vous êtes la poêle qui se moque du chaudron. Vous devriez consulter. 82.64.236.178 (d) ","Je n ai plus de temps à perdre avec toi et tes enfantillages. Je te connais assez bien maintenant. De deux choses l une, soit tu te fous de moi, et du monde de manière générale, ouvertement, soit tu ne réalises pas bien le ridicule de ce que tu écris parfois. Dans les deux cas, je te conseille de faire un peu plus gaffe à ce que tu écris. Si tu fais fuir un éditeur de qualité de par ton attitude agressive, je ne te louperai pas. Je suis loin d être le seul à penser la même chose de toi, plusieurs te l ont déjà dit, alors tiens toi à carreau. Et de grâce, cesse de te gonfler comme une baudruche, ça se voit beaucoup trop. Moez   m écrire   "
"   Bonjour cher contributeur !    Je suis bénévole sur Wikipédia pour l’accueil et l’aide aux débutants. Je vous contacte à propos de vos apports à Wikipédia, qui sont de qualité. Merci ! Actuellement, vous contribuez à Wikipédia depuis votre adresse IP (). Cette adresse peut changer vous perdrez alors la continuité des conversations en cours, votre crédit en tant qu’auteur des modifications que vous avez faites Afin de pouvoir poursuivre vos contributions dans de meilleures conditions (identité fixe, suivi des articles, gestion des conversations, espace personnel de brouillon, possibilité de participer à la vie communautaire et notamment aux votes et élections), je vous propose de vous créer un compte. Cela se fait gratuitement, et sans fournir de données personnelles en quelques clics, devenez un membre de la communauté Wikipédia ! Si vous avez besoin d aide, n’hésitez pas à me contacter. À bientôt, L indispensable Principes fondateurs Tout l indispensable… Critères d admissibilité des articles Rejoindre la communauté ? Pourquoi avoir un compte ? Politique Wikipédia sur l’anonymat Informations rendues publiques Pour vous aider Accueil de la communauté Forum d aide aux nouveaux    Créer un compte    → Julien1978 ","Très inquiétant, en effet. Je frissonne. Jusqu où seront-ils capables d aller ? Tuer, violer, poser des bombes peut-être ? On croyait s être débarassé des communistes, voilà que de dangereux extrémistes gauchistes leur succèdent. Heureusement, M.Sarkozy va y mettre bon ordre et nous débarasser de ces parasites de la société. HDDTZUZDSQ "
"NEUTRALITE, OBJETIVITE, EQUILIBRE Question d’équilibre La cause Ton fils vient chez moi et il emporte mon chien et mon chat, qu’il refuse de me rendre. Ma réaction En retour, je vais chez toi. Je casse ta télé, ton frigo, ta voiture, ta salle de bain, ta cuisine et je tue ta femme et tes enfants ! Pour les États-Unis, le Royaume-Uni, le Canada, l’Australie, ce n’est pas une réaction démesurée… à condition, bien sûr, que je sois le gouvernement d Israel.",y en n a un peut marre de voir des clones de zarko pas d originalités et surtout du vus et deja vus Copé un sossi de plus de nicolas casse toi pauvre con J-P dégage tu empeste le climat80.214.254.17 (d) 
"Monsieur, ou madame, Je ne vois pas pourquoi vous avez retiré la liste des interdits chez les Témoins de Jéhovah, à moins que vous vouliez cacher quelque choses aux lecteurs. Je rétablis le texte tel qu il était avant que vous l effaciez. Cyberdyne (d)  Vous vous êtes monté un complot, vous êtes des hypocrites qui cherchez à cacher le côté répressif des témoins de jéhovah. Vous n êtes pas objectifs, c est vous qui faites une guerre d édition. Cyberdyne (d) "," Pour moi la c**** c est de croire qu un contributeur ne répond pas quand il n est pas sur Internet ou qu il a d autre chose à faire plus importante à traiter avant, lui prêter des mobiles ou des appartenances qu il n a pas, et quand on s en rend compte le traiter de con. EndOfMessage. Cchasson "
"1. Gemini, pouvez-vous me donner la politique sur les caractères gras en Français? Le lien que vous m avez déjà donné, WP:FR, ne marche pas. Je sais que la politique est différente entre les Wikipédias EN et FR, mais même le gouvernement les met un a côté de l autre... parce qu en réalité, la montagne a deux noms qui sont tous les deux importants.2. Il n y a pas grande différence entre Modèle:Langue et Modèle:Lang, specifiquement entre français puis anglais. Je l ai copié d une autre partie de l article.3. J ai rien changé dans l intro, sauf que l ajout du nom  Caubvick. 4. Je savais que la photo pourrait introduire de la controverse. Mais comme je suis  inclusioniste , j ai decidé de ne pas hésiter.Enfin, au lieu de m envoyer des menaces d interdiction, vous auriez du commencer une discussion ici ou sur ma page de discussion avant. SweetNightmares (d) "," WP:fr n a pas à servir de référence de ce pathétique groupuscule, inconnu dans son propre pays. Licorne37 (d) "
"   Mais comment un membre de la secte freudo-lacanienne tel que vous, peut-il contribuer honnêtement à l augmentation d un tel article, puisque l on vous formate le bourrichon à annoner vos saintes écritures qui disent que toute critique est une résistance pathogène refoulée ?? Mais c est pourtant évident ! Vous n êtes pas ici pour faire progresser l article, mais pour le SACCAGER, pour le BAILLONNER, et ETOUFFER les critiques les plus dévastatrices contre votre psychanalyse.       C est donc pour cela que vous avez CENSURE les informations dévastatrices sur le modèle freudien du rêve que j avais fournies, sur la base de travaux neurobiologiques et arguant du fait que, soi-disant, la neurobiologie ne s intéressait pas à la critique de la théorie des rêves de Freud !       Je viens finir par trouver le moyen de convaincre les administrateurs de vous interdire tout nouveau saccage ou acte de caviardage de cet article.       Patience...Patience...   ","Non, ça n’a rien de clair, ou plutôt si, c’est parfaitement clair que ça n’a pas été précisé et que ce n’est qu’une supposition « À la lecture du profil personnel du candidat, le Saint-Siège a estimé que ce candidat ne correspondait pas à ses exigences. », «      Why did the Holy See reject his appointment   ? Because he’s out; or because he’s in a committed relationship with a man? Either one    would probably have gotten him blackballed   .   ». Traduction «    Pourquoi est-ce que le Saint-Siège a rejeté sa candidature    ? Parce qu‘il est homosexuel ou parce qu’il est engagé dans une relation avec un homme ? Chacune des deux raisons    aurait probablement suffit à le blackbouler   . ». schlum =^.^= "
"Bonjour, 93.31.69.241, La page        que vous avez créée vient d être supprimée par l administrateur Chatsam avec le commentaire «   Vandalisme : contenait avant blanchiment « nique ta mere la pute »   ».    Ne recréez pas cette page vous-même.    Si vous tentez de la recréer, elle sera automatiquement blanchie par Salebot.   Si ce message est présent sur votre page de discussion et que vous ne comprenez pas pourquoi, il est vraisemblable que votre fournisseur d accès internet utilise des adresses dynamiques, et que l adresse que vous utilisez actuellement a été utilisée autrefois par quelqu un qui a détérioré le contenu de Wikipédia.   Salebot (d) ",Message posté par Enyegue (d)  Va te fer foutre pd de ta race prostitué de lyceen fils de pute lopette enculé enfoiré connard mon article était parfait Si tu ve te battre vien me voir croqueur de chattes!
"Alors là, tu te dépasses ! Non seulement tu mènes une guerre d édition ridicule, mais en plus tu ajoutes le bandeau tout en revertant toi-même... pour la 3e fois en moins de 24 heures ! Mêmes méthodes qui ont amené à ton blocage, mêmes objectifs... ","C est trop de se faire emmerder comme ca. Salut , tu peux bloquer mon compte indéfiniment ? en plus du blocage de ce jour. J arrête tout. Ca me fait trop chier de voir n importe quel gars venir me faire chier constamment. Comme ca, cela m évitera de contribuer. Faut pas venir faire chier les gens quand. Wikipédia se passera de moi... tant pis Archimëa [Toc 2 Mi] "
"Salut, Au cas où tu ne suis pas attentivement ta messagerie électronique, je t ai envoyé un message assez urgent (depuis meta), surtout si le concours WIMA commence à minuit. Bien à toi, —    Superjuju10    [[[Discussion utilisateur:Superjuju10|   Aubline à votre disposition   ]]], le ","Parceque tu crois qu on supprime 20 fois de suite les memes page ??? Je veux bien croire qu il y ait des abrutis pour recréer des pages supprimées, mais ton argument inclusioniste est totalement spécieux, car cela signfie que l on ne doit pas supprimer des pages sous prétexte quelles peuvent etre recréées, et je te signale que ce genre d abus est prévu et que ces recréations passent en SI d office. Kirtap mémé sage "
"Si guerre d édition il y a, que l article soit mis hors ligne et non consultable. Ecrire le plus sérieusement du monde que PDE est plus à droite que l UNI, c est de la pornographie intellectuelle. On voit maintenant que le fascisme est à l extreme-gauche... Carabinus-crabinou ",suis homme passif gay de montréal avec des fesses trop sexy je veux des gay actif de montréal poure rencontre sexy mon msn moh-anis-77@hotmail.fr laisse moi message je envie en plus suis passif noveaux je fai juste ave mes doits hummmmm suis sexyyyyyyyyyyyy
"La marque Transilien n est pas abandonnée ; si IDFM utilise parfois « train » dans sa communication, ce qui rend celle-ci ambiguë, SNCF Mobilités, propriétaire de la marque, conserve ce terme voir → https://www.transilien.com ou encore https://www.sncf.com/fr/offres-voyageurs/voyager-en-train/transilien ; ceci m a conduit à annuler une grande partie des modifications apportées récemment à l article. Geralix (discuter) ","Sale mytho, à quoi ça sert d effacer une personne qui mérite sa place dans Wikipédia et le remplacer par son propre nom ?"
"Je crois en toi il n y a pas d archivage définitif qui tienne. Tu es 10 000 fois moins malade que moi. Allez courage ! Tu vas pas te laisser fabriquer par les hostos, comme un bleu-bite. Courage Philippe, avec toute mon amitié ! Mike Coppolano (discuter) ",Eh! [[Utilisateur:Jules78120|Jules] Petite Pute. Et si tu allais te faire enculer? Franchement. Je suis homo et j adore ça. Je pense que ça te ferait du bien avec ta morale de petit con. MrMajestyk93 (discuter) 
"... à part ça, pour votre culture personnelle, on écrit   salaud   et pas   salop  . Alchemica - discuter "," C est surtout un sacré dévot et calotin idiot, un mythomane assez dérangé dont les poèmes sont pathétiques et pleins de Jésus nôtre Seigneur, Diable, Dieu, péché & Sainte église de mère de dieu, un romain quoi! Un idolâtre et celtomane à fond. Pauvre Bretagne! BLEI est le pluriel de BLAI, un loup ou ce qui pille, fait du butin. Donc son nom de Secte à la noix des Bardes déguisés en toge romaine & faussaires notoires, BLEIMOR = PIRATE, PILLARD. Mais c est un calottin, un vrai crétin."
"Souvent appelé ndjathe square, NDJATHE NDJATHE Franklin Wilfried est un jeune entrepreneur qui exerce dans plusieurs domaines (agriculture, IT, commerce).","« Mais laissez moi bosser bordel »?!? Qu est-ce que c est que ce langage? C est toi qui es à l origine du problème, ne l oublie pas. Sinon, pourquoi tu ne coltines pas le renommage de toutes les pages liées vers Georges Lefebvre (historien). C est bien beau de foutre la merde, encore faut-il la régler. À bon entendeur. Attis (d) "
Merci pour votre réponse et indications. Nous sommes désolés c était involontaire c est notre première fois sur wikipédia. Nous souhaiterions avoir de nouveau accès à la modification de cette page pour pouvoir suivre vos conseils. Merci. KDMD-paris (d) ,"Après les allusions éthniques et les excuses honteuses, tu joues sur les mots maintenant ? Cycliste breton ne veut rien dire... mais le  cyclisme en bretagne , ou le  cyclisme breton  ou l  histoire du cyclisme en Bretagne , ou l  école de cyclisme bretonne  (si ça veut dire quelques chose) ça, ça aurait un sens. Alors au lieu de gesticuler partout sans rien faire ni écrire, lance toi dans ce genre d article et essaie de justifier vraiment ce que tu avances. Stéphane "
C est encore moi. Je n ai pas trouvé comment faire à la main un tiret insécable. Merci Kgroussos ,"Ralala, vil censeur fasciste, t as pas honte? Merci de ton conseil mais c est un peu tard ~:-/ (et de toute manière j ai congé aujourd hui ). Inisheer : Canal 16 "
